"""FLR""",66.32,"""11/19/2014""","""3:57pm""
"
"""FLS""",65.99,"""11/19/2014""","""3:57pm""
"
"""FMC""",56.31,"""11/19/2014""","""3:57pm""
"
"""FOSL""",107.40,"""11/19/2014""","""3:57pm""
"
"""FOXA""",35.02,"""11/19/2014""","""3:57pm""
"
"""FSLR""",48.87,"""11/19/2014""","""3:57pm""
"
"""FTI""",54.25,"""11/19/2014""","""3:57pm""
"
"""FTR""",6.99,"""11/19/2014""","""3:57pm""
"
"""GAS""",51.37,"""11/19/2014""","""3:57pm""
"
"""GCI""",31.36,"""11/19/2014""","""3:57pm""
"
"""GD""",143.36,"""11/19/2014""","""3:57pm""
"
"""GE""",26.92,"""11/19/2014""","""3:57pm""
"
"""GGP""",26.16,"""11/19/2014""","""3:57pm""
"
"""GILD""",102.42,"""11/19/2014""","""3:57pm""
"
"""GIS""",51.94,"""11/19/2014""","""3:57pm""
"
"""GLW""",20.475,"""11/19/2014""","""3:57pm""
"
"""GM""",32.13,"""11/19/2014""","""3:57pm""
"
"""GMCR""",154.10,"""11/19/2014""","""3:57pm""
"
"""GME""",43.59,"""11/19/2014""","""3:57pm""
"
"""GNW""",9.12,"""11/19/2014""","""3:57pm""
"
"""GOOG""",537.46,"""11/19/2014""","""3:57pm""
"
"""GOOGL""",547.60,"""11/19/2014""","""3:57pm""
"
"""GPC""",100.17,"""11/19/2014""","""3:57pm""
"
"""GPS""",39.53,"""11/19/2014""","""3:57pm""
"
"""GRMN""",59.17,"""11/19/2014""","""3:58pm""
"
"""GS""",189.27,"""11/19/2014""","""3:58pm""
"
"""GT""",25.975,"""11/19/2014""","""3:58pm""
"
"""GWW""",244.30,"""11/19/2014""","""3:58pm""
"
"""HAL""",48.505,"""11/19/2014""","""3:58pm""
"
"""HAR""",108.14,"""11/19/2014""","""3:57pm""
"
"""HAS""",56.14,"""11/19/2014""","""3:57pm""
"
"""HBAN""",10.115,"""11/19/2014""","""3:58pm""
"
"""HCBK""",9.645,"""11/19/2014""","""3:58pm""
"
"""HCN""",71.55,"""11/19/2014""","""3:58pm""
"
"""HCP""",43.19,"""11/19/2014""","""3:58pm""
"
"""HD""",96.6301,"""11/19/2014""","""3:58pm""
"
"""HES""",82.38,"""11/19/2014""","""3:58pm""
"
"""HIG""",40.79,"""11/19/2014""","""3:58pm""
"
"""HOG""",69.18,"""11/19/2014""","""3:58pm""
"
"""HON""",96.57,"""11/19/2014""","""3:58pm""
"
"""HOT""",76.51,"""11/19/2014""","""3:58pm""
"
"""HP""",78.04,"""11/19/2014""","""3:58pm""
"
"""HPQ""",37.16,"""11/19/2014""","""3:58pm""
"
"""HRB""",32.533,"""11/19/2014""","""3:58pm""
"
"""HRL""",55.25,"""11/19/2014""","""3:58pm""
"
"""HRS""",70.87,"""11/19/2014""","""3:58pm""
"
"""HSP""",58.81,"""11/19/2014""","""3:58pm""
"
"""HST""",22.445,"""11/19/2014""","""3:58pm""
"
"""HSY""",95.99,"""11/19/2014""","""3:58pm""
"
"""HUM""",136.47,"""11/19/2014""","""3:59pm""
"
"""IBM""",161.38,"""11/19/2014""","""3:59pm""
"
"""ICE""",220.75,"""11/19/2014""","""3:59pm""
"
"""IFF""",98.59,"""11/19/2014""","""3:59pm""
"
"""INTC""",34.34,"""11/19/2014""","""3:59pm""
"
"""INTU""",91.34,"""11/19/2014""","""3:59pm""
"
